key.0_p,key.1_Gyr,key.2_centerM,key.3_steps,key.4_seed,key.5_rnd.,velocity
15,11.0-12.0,1,20,99,0.5,1.2562383983224883
20,12.0-13.0,1,25,42,0.5,1.2187659573188367
10,12.0-12.5,1,15,789,0.5,1.1855794850161316
20,12.0-12.5,1,25,42,0.5,1.1145039629336837
20,10.0-11.0,1,100,123,0.5,1.1581861266688724
50,0.0-0.5,1,100,42,0.5,322.68769777899985
30,0.0-0.4,1,100,999,0.5,613.1066257800996
100,1.5-14.8,1,1000,42,0.5,0.9964256700417468
200,5.8-13.8,1,250,123,0.0,1.1408260430914252
200,5.8-13.8,2,250,123,0.0,1.1452676111189506
200,5.8-13.8,3,250,123,0.0,1.1434846485991443
200,5.8-13.8,5,250,123,0.0,1.1480322608792524
200,5.8-13.8,7,250,123,0.0,1.154454084656823
200,5.8-13.8,10,250,123,0.0,1.1509987031443725
200,5.8-13.8,15,250,123,0.0,1.1454032759424269
200,5.8-13.8,20,250,123,0.0,1.1432414577582648
200,5.8-13.8,35,250,123,0.0,1.1336379990233298
200,5.8-13.8,50,250,123,0.0,1.1279151731171386
200,5.8-13.8,75,250,123,0.0,1.1242845723033512
200,5.8-13.8,100,250,123,0.0,1.1235777791270825
200,5.8-13.8,150,250,123,0.0,1.123208317687459
200,5.8-13.8,200,250,123,0.0,1.1231176221953219
200,5.8-13.8,350,250,123,0.0,1.1230636260104532
200,5.8-13.8,500,250,123,0.0,1.1230554763793255
200,5.8-13.8,750,250,123,0.0,1.1230524814233447
200,5.8-13.8,1000,250,123,0.0,1.1230517523032328
2000,5.8-13.8,1,300,42,0.0,1.1390647884552763
2000,5.8-13.8,1,300,123,0.0,1.139047821690514
2000,5.8-13.8,2,300,42,0.0,1.14030804773916
2000,5.8-13.8,2,300,123,0.0,1.1402831985979651
2000,5.8-13.8,3,300,42,0.0,1.147903759486757
2000,5.8-13.8,3,300,123,0.0,1.1478736689056253
2000,5.8-13.8,4,300,42,0.0,1.1494307401965125
2000,5.8-13.8,4,300,123,0.0,1.1493979549907758
2000,5.8-13.8,5,300,42,0.0,1.143076596218046
2000,5.8-13.8,5,300,123,0.0,1.1430394230300682
2000,5.8-13.8,6,300,42,0.0,1.1531239951059695
2000,5.8-13.8,6,300,123,0.0,1.1530759335135783
2000,5.8-13.8,7,300,42,0.0,1.1618118529426804
2000,5.8-13.8,7,300,123,0.0,1.161752640464923
2000,5.8-13.8,8,300,42,0.0,1.1690955330165493
2000,5.8-13.8,8,300,123,0.0,1.1690273246689589
2000,5.8-13.8,9,300,42,0.0,1.1450060302015779
2000,5.8-13.8,9,300,123,0.0,1.1449448189770763
2000,5.8-13.8,10,300,42,0.0,1.1487631914721896
2000,5.8-13.8,10,300,123,0.0,1.1487012989523213
2000,5.8-13.8,15,300,42,0.0,1.1533915144582967
2000,5.8-13.8,15,300,123,0.0,1.1533798756094247
2000,5.8-13.8,20,300,42,0.0,1.1433897277072238
2000,5.8-13.8,20,300,123,0.0,1.1434424899006728
2000,5.8-13.8,25,300,42,0.0,1.1556298783099355
2000,5.8-13.8,25,300,123,0.0,1.155720171255405
200,5.8-13.8,1,250,42,0.0,1.1406401744221053
2000,5.8-13.8,30,300,42,0.0,1.157526618795575
2000,5.8-13.8,30,300,123,0.0,1.157617406908828
2000,5.8-13.8,35,300,42,0.0,1.141819651730846
2000,5.8-13.8,35,300,123,0.0,1.141886284781464
2000,5.8-13.8,40,300,42,0.0,1.141725448512857
2000,5.8-13.8,40,300,123,0.0,1.1417732104413707
2000,5.8-13.8,45,300,42,0.0,1.1404757721768395
2000,5.8-13.8,45,300,123,0.0,1.1405067920314056
2000,5.8-13.8,50,300,42,0.0,1.1438887403342604
2000,5.8-13.8,50,300,123,0.0,1.138965143327031
2000,5.8-13.8,55,300,42,0.0,1.1411426586534519
2000,5.8-13.8,55,300,123,0.0,1.1411516744048549
2000,3.8-13.8,1,300,42,0.0,1.0300583466250215
2000,5.8-13.8,60,300,42,0.0,1.1389250395674573
2000,5.8-13.8,60,300,123,0.0,1.1389273943281961
2000,5.8-13.8,70,300,42,0.0,1.1356924876144123
2000,5.8-13.8,70,300,123,0.0,1.1356871537289968
2000,5.8-13.8,80,300,42,0.0,1.132628185841445
2000,5.8-13.8,80,300,123,0.0,1.132619258413354
2000,5.8-13.8,90,300,42,0.0,1.1308064222505259
2000,5.8-13.8,90,300,123,0.0,1.1307957151595254
2000,5.8-13.8,100,300,42,0.0,1.1290056176767143
2000,5.8-13.8,100,300,123,0.0,1.1289940448761124
2000,5.8-13.8,150,300,42,0.0,1.124593954189633
2000,5.8-13.8,150,300,123,0.0,1.1245814583974447
2000,5.8-13.8,200,300,42,0.0,1.1237021260042839
2000,5.8-13.8,200,300,123,0.0,1.1236895374016258
2000,5.8-13.8,250,300,42,0.0,1.1233810146895589
2000,5.8-13.8,250,300,123,0.0,1.123368411400331
2000,5.8-13.8,300,300,42,0.0,1.1232384286893542
2000,5.8-13.8,300,300,123,0.0,1.1232258223740212
2000,5.8-13.8,350,300,42,0.0,1.1231657450001782
2000,5.8-13.8,350,300,123,0.0,1.1231531380297202
2000,5.8-13.8,400,300,42,0.0,1.123124889533781
2000,5.8-13.8,400,300,123,0.0,1.1231122824735074
2000,5.8-13.8,450,300,42,0.0,1.1231001882107234
2000,5.8-13.8,450,300,123,0.0,1.1230875811980943
2000,5.8-13.8,500,300,42,0.0,1.1230843862011843
2000,5.8-13.8,500,300,123,0.0,1.123071779261029
2000,5.8-13.8,550,300,42,0.0,1.12307381159939
2000,5.8-13.8,550,300,123,0.0,1.1230612047267154
2000,5.8-13.8,600,300,42,0.0,1.1230664701212463
2000,5.8-13.8,600,300,123,0.0,1.1230538633046707
2000,5.8-13.8,700,300,42,0.0,1.123057354703695
2000,5.8-13.8,700,300,123,0.0,1.123044747967712
2000,5.8-13.8,800,300,42,0.0,1.1230522363568425
2000,5.8-13.8,800,300,123,0.0,1.1230396296716447
2000,5.8-13.8,900,300,42,0.0,1.1230491437726582
2000,5.8-13.8,900,300,123,0.0,1.1230365371201647
2000,5.8-13.8,1000,300,42,0.0,1.123047166190125
